split,accuracy,f1_weighted,f1_macro,model
validation,0.8916584887144259,0.892323569364458,0.8917450917567238,XGBoost (Tuned)
final_test,0.8863011906319508,0.8870488747936977,0.8868358323492893,XGBoost (Tuned)
