split,accuracy,f1_weighted,f1_macro,model,best_alpha
validation,0.9011449133137063,0.901699737488711,0.9010658224590182,Bernoulli Naive Bayes (Tuned),0.22380362882287141
final_test,0.8959178333115269,0.8965574395649815,0.8961133308935171,Bernoulli Naive Bayes (Tuned),0.22380362882287141
