split,accuracy,f1_weighted,f1_macro,model,selected_features
validation,0.6953876349362119,0.7169336264705816,0.7144238840527953,Stacking Ensemble,150
final_test,0.6931178856469973,0.7146590893590761,0.7130621956310719,Stacking Ensemble,150
