split,accuracy,f1_weighted,f1_macro,model
validation,0.8983316977428851,0.8986120288253413,0.8979156272732937,Voting Ensemble
final_test,0.8940206725107942,0.8944658464257459,0.894156568093512,Voting Ensemble
