split,accuracy,f1_weighted,f1_macro,model
validation,0.8959110238796205,0.8966644644440257,0.8960370912283296,SVM (Linear)
final_test,0.8935627371451,0.8942182277962925,0.8940809964479933,SVM (Linear)
